date,temperature,flower_status
2015/4/2,10.9,0
2015/4/3,16.9,0
2015/4/4,13.9,0
2015/4/5,10.5,0
2015/4/6,13.9,scatter
2015/4/7,11.1,0
2015/4/8,5.4,0
2015/4/9,7.7,0
2015/4/10,8.9,0
2015/4/11,11.3,0
2015/4/12,12.6,0
2015/4/13,10.5,0
2015/4/14,12.3,0
2015/4/15,15.8,0
2015/4/16,15.6,0
2015/4/17,18.0,0
2015/4/18,14.6,0
2015/4/19,14.6,0
2015/4/20,18.2,0
2015/4/21,17.6,0
2015/4/22,15.6,0
2015/4/23,17.3,0
2015/4/24,17.9,0
2015/4/25,17.2,0
2015/4/26,17.5,0
2015/4/27,19.0,0
2015/4/28,19.9,0
2015/4/29,19.4,0
2015/4/30,18.8,0
2015/5/1,20.4,0
2015/5/2,20.3,0
2015/5/3,20.6,0
2015/5/4,21.1,0
2015/5/5,18.7,0
2015/5/6,18.2,0
2015/5/7,19.3,0
2015/5/8,20.2,0
2015/5/9,18.8,0
2015/5/10,19.8,0
2015/5/11,17.2,0
2015/5/12,19.7,0
2015/5/13,22.4,0
2015/5/14,22.6,0
2015/5/15,21.9,0
2015/5/16,21.0,0
2015/5/17,21.6,0
2015/5/18,21.6,0
2015/5/19,20.1,0
2015/5/20,21.6,0
2015/5/21,19.3,0
2015/5/22,20.4,0
2015/5/23,20.8,0
2015/5/24,21.1,0
2015/5/25,21.1,0
2015/5/26,22.1,0
2015/5/27,23.4,0
2015/5/28,21.7,0
2015/5/29,20.9,0
2015/5/30,23.0,0
2015/5/31,24.4,0
2016/3/1,5.7,0
2016/3/2,6.9,0
2016/3/3,9.6,0
2016/3/4,10.5,0
2016/3/5,10.9,0
2016/3/6,13.4,0
2016/3/7,14.7,0
2016/3/8,14.1,0
2016/3/9,9.6,0
2016/3/10,6.6,0
2016/3/11,5.4,0
2016/3/12,7.1,0
2016/3/13,7.4,0
2016/3/14,6.6,0
2016/3/15,8.9,0
2016/3/16,9.3,0
2016/3/17,12.9,0
2016/3/18,15.3,0
2016/3/19,15.1,0
2016/3/20,13.2,bloom starts
2016/3/21,9.7,0
2016/3/22,11.5,0
2016/3/23,11.8,0
2016/3/24,6.8,0
2016/3/25,8.9,0
2016/3/26,7.9,0
2016/3/27,10.3,0
